,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
1893,641.0,город Екатеринбург,Верх-Исетский район,Ветеринарная,8,56.82429,60.562471,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Ветеринарная
1894,641.0,город Екатеринбург,Верх-Исетский район,Московский тракт,17 км,56.82993,60.373656,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Московский тракт
1895,641.0,город Екатеринбург,Верх-Исетский район,"Удельная, СНТ ""40 лет Октября""",,56.801264,60.474772,"город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Удельная, СНТ ""40 лет Октября"""
1896,641.0,город Екатеринбург,Верх-Исетский район,15 км. Московского тракта,,56.812955,60.371541,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: 15 км. Московского тракта
1898,641.0,город Екатеринбург,Верх-Исетский район,Палкинский торфяник,,56.858475,60.380534,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Палкинский торфяник
1899,641.0,город Екатеринбург,Верх-Исетский район,Чусовской тракт 8 км.,,56.80391,60.38611,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Чусовской тракт 8 км.
1900,641.0,город Екатеринбург,Верх-Исетский район,Пер. Северный,2А,56.842365,60.579867,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Пер. Северный
1901,641.0,город Екатеринбург,Верх-Исетский район,Репина,94,56.816492,60.535418,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Репина
5305,641.0,город Екатеринбург,Верх-Исетский район,Красноуральская,23,56.833582,60.55657,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Красноуральская
5306,641.0,город Екатеринбург,Верх-Исетский район,Соболева,19,56.810984,60.512542,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Соболева
5307,641.0,город Екатеринбург,Верх-Исетский район,Ясная,22г,56.817582,60.568496,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Ясная
5308,641.0,город Екатеринбург,Верх-Исетский район,Московская,11,56.840028,60.58221,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Московская
5309,641.0,город Екатеринбург,Верх-Исетский район,Папанина,18,56.844338,60.578421,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Папанина
5310,641.0,город Екатеринбург,Верх-Исетский район,Викулова-Красноуфимская-Каменьщиков-Начдива Васильева,,56.842,60.545,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Викулова-Красноуфимская-Каменьщиков-Начдива Васильева
5312,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,41,56.788617,60.481441,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5313,641.0,город Екатеринбург,Верх-Исетский район,Репина,90,56.8188,60.5395,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Репина
5315,641.0,город Екатеринбург,Верх-Исетский район,Качканарская,17,56.853642,60.548275,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Качканарская
5316,641.0,город Екатеринбург,Верх-Исетский район,Репина СООР,5,56.833627,60.571985,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Репина СООР
5317,641.0,город Екатеринбург,Верх-Исетский район,Посадская,20,56.823621,60.568216,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Посадская
5318,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,80,56.828496,60.511449,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5322,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,78,56.829232,60.511544,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5323,641.0,город Екатеринбург,Верх-Исетский район,"С/Т ""Университет-1",Участок №3,56.819808,60.492536,"город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: С/Т ""Университет-1"
5324,641.0,город Екатеринбург,Верх-Исетский район,Заводская,15,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Заводская
5325,641.0,город Екатеринбург,Верх-Исетский район,Крауля,68,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5326,641.0,город Екатеринбург,Верх-Исетский район,Викулова,46,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Викулова
5327,641.0,город Екатеринбург,Верх-Исетский район,Зоологическая,8,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Зоологическая
5328,641.0,город Екатеринбург,Верх-Исетский район,Черепанова,33,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Черепанова
5329,641.0,город Екатеринбург,Верх-Исетский район,Заводская,14,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Заводская
5330,641.0,город Екатеринбург,Верх-Исетский район,Верх-Исетский,18,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Верх-Исетский
