,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
5331,641.0,город Екатеринбург,Верх-Исетский район,"СНТ ""Солнечный""",,56.835566,60.334894,"город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: СНТ ""Солнечный"""
5332,641.0,город Екатеринбург,Верх-Исетский район,Дальняя,25,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Дальняя
5333,641.0,город Екатеринбург,Верх-Исетский район,Халтурина,89,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Халтурина
5334,641.0,город Екатеринбург,Верх-Исетский район,Прохожая,30,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Прохожая
5335,641.0,город Екатеринбург,Верх-Исетский район,Лиственная,52а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Лиственная
5336,641.0,город Екатеринбург,Верх-Исетский район,Лиственная,50,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Лиственная
5337,641.0,город Екатеринбург,Верх-Исетский район,Пос. Медный,,56.772716,60.377227,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Пос. Медный
5338,641.0,город Екатеринбург,Верх-Исетский район,"Феофанова-Врачей, пос. Широкая речка",,56.795531,60.487327,"город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Феофанова-Врачей, пос. Широкая речка"
5339,641.0,город Екатеринбург,Верх-Исетский район,"Торфяная, пос. Палкинский торфяник",,56.859967,60.375068,"город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Торфяная, пос. Палкинский торфяник"
5340,641.0,город Екатеринбург,Верх-Исетский район,Крауля,76,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5341,641.0,город Екатеринбург,Верх-Исетский район,Хрустальногорская,87,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Хрустальногорская
5342,641.0,город Екатеринбург,Верх-Исетский район,Хрустальногорская,87,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Хрустальногорская
5343,641.0,город Екатеринбург,Верх-Исетский район,Челюскинцев,2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Челюскинцев
5344,641.0,город Екатеринбург,Верх-Исетский район,Рябинина,18/2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Рябинина
5345,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,29,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5346,641.0,город Екатеринбург,Верх-Исетский район,Академика Сахарова,85а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Академика Сахарова
5347,641.0,город Екатеринбург,Верх-Исетский район,Широкореченская,49,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Широкореченская
5348,641.0,город Екатеринбург,Верх-Исетский район,Токарей,54/2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Токарей
5349,641.0,город Екатеринбург,Верх-Исетский район,Заводская,46,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Заводская
5350,641.0,город Екатеринбург,Верх-Исетский район,Папанина,5,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Папанина
5351,641.0,город Екатеринбург,Верх-Исетский район,Готвальда,6/3,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Готвальда
5352,641.0,город Екатеринбург,Верх-Исетский район,Токарей,33,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Токарей
5353,641.0,город Екатеринбург,Верх-Исетский район,Цветоносная,2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Цветоносная
5354,641.0,город Екатеринбург,Верх-Исетский район,Наядива Васильева,3,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Наядива Васильева
5355,641.0,город Екатеринбург,Верх-Исетский район,Кирова,34,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Кирова
5356,641.0,город Екатеринбург,Верх-Исетский район,Папанина,7/1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Папанина
5357,641.0,город Екатеринбург,Верх-Исетский район,Верх-Исетский бульвар,5,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Верх-Исетский бульвар
5358,641.0,город Екатеринбург,Верх-Исетский район,Кирова,31,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Кирова
5359,641.0,город Екатеринбург,Верх-Исетский район,Плотников,15б,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Плотников
5360,641.0,город Екатеринбург,Верх-Исетский район,Малый Конный полуостров,15,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Малый Конный полуостров
5361,641.0,город Екатеринбург,Верх-Исетский район,Хрустальногорская,75,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Хрустальногорская
5362,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,60,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5363,641.0,город Екатеринбург,Верх-Исетский район,Терновый,8/3,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Терновый
5364,641.0,город Екатеринбург,Верх-Исетский район,Терновый,8/2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Терновый
5365,641.0,город Екатеринбург,Верх-Исетский район,Терновый,8,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Терновый
5366,641.0,город Екатеринбург,Верх-Исетский район,Карасьевская,44,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Карасьевская
5367,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,4,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5368,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,6,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5369,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,8,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5370,641.0,город Екатеринбург,Верх-Исетский район,Григория Речкалова,1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Григория Речкалова
5371,641.0,город Екатеринбург,Верх-Исетский район,Мельникова,2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Мельникова
5372,641.0,город Екатеринбург,Верх-Исетский район,Токарей,40,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Токарей
5373,641.0,город Екатеринбург,Верх-Исетский район,Цветоносная,17/2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Цветоносная
5374,641.0,город Екатеринбург,Верх-Исетский район,Широкореченская,58/6,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Широкореченская
5375,641.0,город Екатеринбург,Верх-Исетский район,Широкореченская,58/1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Широкореченская
5376,641.0,город Екатеринбург,Верх-Исетский район,Опалихинская,44,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Опалихинская
5377,641.0,город Екатеринбург,Верх-Исетский район,Малогородская,30б,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Малогородская
5378,641.0,город Екатеринбург,Верх-Исетский район,Малогородская,6,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Малогородская
5379,641.0,город Екатеринбург,Верх-Исетский район,Малогородская,2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Малогородская
5380,641.0,город Екатеринбург,Верх-Исетский район,Февральской Революции,53,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Февральской Революции
5381,641.0,город Екатеринбург,Верх-Исетский район,Крауля,166а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5382,641.0,город Екатеринбург,Верх-Исетский район,Посадская,8,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Посадская
5383,641.0,город Екатеринбург,Верх-Исетский район,Кирова,9,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Кирова
5384,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,33а,56.78861,60.48684,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5385,641.0,город Екатеринбург,Верх-Исетский район,Майская,16,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Майская
5386,641.0,город Екатеринбург,Верх-Исетский район,Челюскинцев,5,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Челюскинцев
5387,641.0,город Екатеринбург,Верх-Исетский район,Татищева,69,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Татищева
5388,641.0,город Екатеринбург,Верх-Исетский район,Татищева,62,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Татищева
5389,641.0,город Екатеринбург,Верх-Исетский район,Хомякова,23,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Хомякова
5390,641.0,город Екатеринбург,Верх-Исетский район,Посадская,81а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Посадская
5391,641.0,город Екатеринбург,Верх-Исетский район,Хомякова,15,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Хомякова
5392,641.0,город Екатеринбург,Верх-Исетский район,Бориса Ельцина,3/2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Бориса Ельцина
5393,641.0,город Екатеринбург,Верх-Исетский район,Петра Кожемяко,16,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Петра Кожемяко
5394,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,67,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5395,641.0,город Екатеринбург,Верх-Исетский район,Евгения Савкова,15,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Евгения Савкова
5396,641.0,город Екатеринбург,Верх-Исетский район,Рябинина,1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Рябинина
5397,641.0,город Екатеринбург,Верх-Исетский район,Суходольская,99,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Суходольская
5398,641.0,город Екатеринбург,Верх-Исетский район,Татищева,105,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Татищева
5399,641.0,город Екатеринбург,Верх-Исетский район,Шайтанский,1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Шайтанский
5400,641.0,город Екатеринбург,Верх-Исетский район,Нагорная,130,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Нагорная
5401,641.0,город Екатеринбург,Верх-Исетский район,Анри Барбюса,169,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Анри Барбюса
5402,641.0,город Екатеринбург,Верх-Исетский район,Крауля,87/1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5403,641.0,город Екатеринбург,Верх-Исетский район,Викулова,38,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Викулова
5404,641.0,город Екатеринбург,Верх-Исетский район,Крайля,93в,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крайля
5405,641.0,город Екатеринбург,Верх-Исетский район,Крауля,166,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5406,641.0,город Екатеринбург,Верх-Исетский район,Ленина,31,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Ленина
5407,641.0,город Екатеринбург,Верх-Исетский район,Заводская,45/1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Заводская
5408,641.0,город Екатеринбург,Верх-Исетский район,Викулова,28в,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Викулова
5409,641.0,город Екатеринбург,Верх-Исетский район,Московский тракт,7/1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Московский тракт
5410,641.0,город Екатеринбург,Верх-Исетский район,Белореченская,10,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Белореченская
5411,641.0,город Екатеринбург,Верх-Исетский район,Мельникова,38,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Мельникова
5412,641.0,город Екатеринбург,Верх-Исетский район,Крауля,8,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5413,641.0,город Екатеринбург,Верх-Исетский район,Репина,99а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Репина
5414,641.0,город Екатеринбург,Верх-Исетский район,Заводская,7а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Заводская
5415,641.0,город Екатеринбург,Верх-Исетский район,СНТ Золотой огонек,,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: СНТ Золотой огонек
5416,641.0,город Екатеринбург,Верх-Исетский район,Малопрудная,5/4,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Малопрудная
5417,641.0,город Екатеринбург,Верх-Исетский район,СНТ Дружба-1,,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: СНТ Дружба-1
5418,641.0,город Екатеринбург,Верх-Исетский район,Чердынская,48,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Чердынская
5419,641.0,город Екатеринбург,Верх-Исетский район,Суходольская,302а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Суходольская
5420,641.0,город Екатеринбург,Верх-Исетский район,Очеретина,12,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Очеретина
5421,641.0,город Екатеринбург,Верх-Исетский район,Долорес Иббарури,4,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Долорес Иббарури
5422,641.0,город Екатеринбург,Верх-Исетский район,Черепанова,14а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Черепанова
5423,641.0,город Екатеринбург,Верх-Исетский район,Татищева,54,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Татищева
5424,641.0,город Екатеринбург,Верх-Исетский район,Хрустальный,1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Хрустальный
5425,641.0,город Екатеринбург,Верх-Исетский район,Краснокамская,94,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Краснокамская
5426,641.0,город Екатеринбург,Верх-Исетский район,Московский тракт,17 км,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Московский тракт
5427,641.0,город Екатеринбург,Верх-Исетский район,Викулова,65,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Викулова
5428,641.0,город Екатеринбург,Верх-Исетский район,Викулова,41 а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Викулова
5429,641.0,город Екатеринбург,Верх-Исетский район,Пальмиро Тольтти,11а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Пальмиро Тольтти
5430,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,82,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5431,641.0,город Екатеринбург,Верх-Исетский район,Чусовской тракт,12,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Чусовской тракт
5432,641.0,город Екатеринбург,Верх-Исетский район,Бебеля,132а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Бебеля
5433,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,52,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5434,641.0,город Екатеринбург,Верх-Исетский район,Большие караси,3,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Большие караси
5435,641.0,город Екатеринбург,Верх-Исетский район,Белореченская,21,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Белореченская
5436,641.0,город Екатеринбург,Верх-Исетский район,Косотурская СНТ Энергия,,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Косотурская СНТ Энергия
5437,641.0,город Екатеринбург,Верх-Исетский район,Белореченская,5а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Белореченская
5438,641.0,город Екатеринбург,Верх-Исетский район,Московская,28а,56.830458,60.582326,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Московская
5439,641.0,город Екатеринбург,Верх-Исетский район,Мельникова,40,56.830678,60.566512,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Мельникова
5440,641.0,город Екатеринбург,Верх-Исетский район,Вельгельма Де Геннина,42,56.790787,60.515236,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Вельгельма Де Геннина
5441,641.0,город Екатеринбург,Верх-Исетский район,Опалихинская,40,56.855399,60.558862,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Опалихинская
5442,641.0,город Екатеринбург,Верх-Исетский район,Репина,93,56.523202,60.544599,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Репина
5443,641.0,город Екатеринбург,Верх-Исетский район,Анри Барбюса,6,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Анри Барбюса
5444,641.0,город Екатеринбург,Верх-Исетский район,Репина,13,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Репина
5445,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,70,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5446,641.0,город Екатеринбург,Верх-Исетский район,Кирова,40,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Кирова
5447,641.0,город Екатеринбург,Верх-Исетский район,Нагорная,46а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Нагорная
5448,641.0,город Екатеринбург,Верх-Исетский район,Серафимы Дерябиной,16,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Серафимы Дерябиной
5449,641.0,город Екатеринбург,Верх-Исетский район,Крылова,2,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крылова
5450,641.0,город Екатеринбург,Верх-Исетский район,Верх-Исетский,13а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Верх-Исетский
5451,641.0,город Екатеринбург,Верх-Исетский район,Заводская,94,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Заводская
5452,641.0,город Екатеринбург,Верх-Исетский район,Широкореченская,47,56.79276,60.47612,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Широкореченская
5453,641.0,город Екатеринбург,Верх-Исетский район,Посадская,45,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Посадская
5454,641.0,город Екатеринбург,Верх-Исетский район,Готвальда,6/1,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Готвальда
5455,641.0,город Екатеринбург,Верх-Исетский район,Крауля,78а,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5456,641.0,город Екатеринбург,Верх-Исетский район,Заводская,27,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Заводская
5457,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,87б,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5458,641.0,город Екатеринбург,Верх-Исетский район,Московский тракт СНИ Заря,9 км,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Московский тракт СНИ Заря
5459,641.0,город Екатеринбург,Верх-Исетский район,Краснолесье,133,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Краснолесье
5460,641.0,город Екатеринбург,Верх-Исетский район,Викулова,28д,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Викулова
5461,641.0,город Екатеринбург,Верх-Исетский район,Металлургов,60,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Металлургов
5462,641.0,город Екатеринбург,Верх-Исетский район,Бебеля,57,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Бебеля
5463,641.0,город Екатеринбург,Верх-Исетский район,Толедова,43,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Толедова
5464,641.0,город Екатеринбург,Верх-Исетский район,Рябинина,32,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Рябинина
5465,641.0,город Екатеринбург,Верх-Исетский район,Крауля,182б,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Крауля
5466,641.0,город Екатеринбург,Верх-Исетский район,Черепанова,21,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Черепанова
5467,641.0,город Екатеринбург,Верх-Исетский район,Верх-Исетский,23,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Верх-Исетский
5468,641.0,город Екатеринбург,Верх-Исетский район,Ветеринарная,9,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Ветеринарная
5469,641.0,город Екатеринбург,Верх-Исетский район,Кирова,65,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Кирова
5470,641.0,город Екатеринбург,Верх-Исетский район,Академика Сахарова,95,56.0,60.0,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Академика Сахарова
5471,641.0,город Екатеринбург,Верх-Исетский район,Толедова,43а/1,56.853268,60.547616,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Толедова
5472,641.0,город Екатеринбург,Верх-Исетский район,Февральской Революции,56,56.844086,60.586154,город Екатеринбург<br>Район: Верх-Исетский район<br>Улица: Февральской Революции
