,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
6752,641.0,город Екатеринбург,Кировский район,Ул. Превомайская,71Б литер А,56.845966,60.636661,город Екатеринбург<br>Район: Кировский район<br>Улица: Ул. Превомайская
6753,641.0,город Екатеринбург,Кировский район,Ботаническая,17,56.848363,60.6462,город Екатеринбург<br>Район: Кировский район<br>Улица: Ботаническая
6754,641.0,город Екатеринбург,Кировский район,Норильская,77,56.883172,60.680526,город Екатеринбург<br>Район: Кировский район<br>Улица: Норильская
6755,641.0,город Екатеринбург,Кировский район,Ул. Блюхера,95,56.864052,60.665842,город Екатеринбург<br>Район: Кировский район<br>Улица: Ул. Блюхера
6756,641.0,город Екатеринбург,Кировский район,Уральская,74,56.853113,60.637192,город Екатеринбург<br>Район: Кировский район<br>Улица: Уральская
6757,641.0,город Екатеринбург,Кировский район,Пр. Ленина,69/10,56.841101,60.622614,город Екатеринбург<br>Район: Кировский район<br>Улица: Пр. Ленина
6759,641.0,город Екатеринбург,Кировский район,Изоплитная,15,56.868368,60.736385,город Екатеринбург<br>Район: Кировский район<br>Улица: Изоплитная
6760,641.0,город Екатеринбург,Кировский район,В. Высоцкого,14,56.841991,60.681564,город Екатеринбург<br>Район: Кировский район<br>Улица: В. Высоцкого
6762,641.0,город Екатеринбург,Кировский район,Комсомольская,76,56.835208,60.661182,город Екатеринбург<br>Район: Кировский район<br>Улица: Комсомольская
6763,641.0,город Екатеринбург,Кировский район,Блюхера,47,56.854302,60.645535,город Екатеринбург<br>Район: Кировский район<br>Улица: Блюхера
6764,641.0,город Екатеринбург,Кировский район,Данилы Зверева 17Б / Сулимова 4,"17 Б, 4",56.862621,60.652372,город Екатеринбург<br>Район: Кировский район<br>Улица: Данилы Зверева 17Б / Сулимова 4
6765,641.0,город Екатеринбург,Кировский район,Смазчиков,2А,56.85889,60.6215,город Екатеринбург<br>Район: Кировский район<br>Улица: Смазчиков
6766,641.0,город Екатеринбург,Кировский район,Ул. Новгородцевой,7 В,56.835188,60.671945,город Екатеринбург<br>Район: Кировский район<br>Улица: Ул. Новгородцевой
6767,641.0,город Екатеринбург,Кировский район,Советская,1,56.850344,60.626315,город Екатеринбург<br>Район: Кировский район<br>Улица: Советская
7264,641.0,город Екатеринбург,Кировский район,Библиотечная,27,56.833683,60.650443,город Екатеринбург<br>Район: Кировский район<br>Улица: Библиотечная
7266,641.0,город Екатеринбург,Кировский район,Советская,62,56.858227,60.648159,город Екатеринбург<br>Район: Кировский район<br>Улица: Советская
7267,641.0,город Екатеринбург,Кировский район,Ул. Ботаническая,17,56.848406,60.644636,город Екатеринбург<br>Район: Кировский район<br>Улица: Ул. Ботаническая
7277,641.0,город Екатеринбург,Кировский район,Малышева,127,56.8414,60.6574,город Екатеринбург<br>Район: Кировский район<br>Улица: Малышева
7279,641.0,город Екатеринбург,Кировский район,Июльская,19,56.8589,60.6412,город Екатеринбург<br>Район: Кировский район<br>Улица: Июльская
7280,641.0,город Екатеринбург,Кировский район,Учителей,2б,56.8586,60.6323,город Екатеринбург<br>Район: Кировский район<br>Улица: Учителей
7281,641.0,город Екатеринбург,Кировский район,Уральская,67,56.854891,60.637044,город Екатеринбург<br>Район: Кировский район<br>Улица: Уральская
7282,641.0,город Екатеринбург,Кировский район,Ул. Мира,1а,56.8533,60.6483,город Екатеринбург<br>Район: Кировский район<br>Улица: Ул. Мира
7283,641.0,город Екатеринбург,Кировский район,Пер. Автоматики,2 литер Ж,56.850183,60.667038,город Екатеринбург<br>Район: Кировский район<br>Улица: Пер. Автоматики
7284,641.0,город Екатеринбург,Кировский район,Сиреневый Бульвар,2А,56.8342,60.6839,город Екатеринбург<br>Район: Кировский район<br>Улица: Сиреневый Бульвар
7288,641.0,город Екатеринбург,Кировский район,Сыромолотова,22,56.834151,60.680927,город Екатеринбург<br>Район: Кировский район<br>Улица: Сыромолотова
7292,641.0,город Екатеринбург,Кировский район,Сиреневый Бульвар,2,56.8342,60.6828,город Екатеринбург<br>Район: Кировский район<br>Улица: Сиреневый Бульвар
7294,641.0,город Екатеринбург,Кировский район,Ново-Свердловской ТЭЦ,Участок 45 лит 2,56.8398,60.8589,город Екатеринбург<br>Район: Кировский район<br>Улица: Ново-Свердловской ТЭЦ
7296,641.0,город Екатеринбург,Кировский район,Комсомольская,6 Е,56.85438,60.651753,город Екатеринбург<br>Район: Кировский район<br>Улица: Комсомольская
7302,641.0,город Екатеринбург,Кировский район,Клары Цеткин,4,56.843254,60.605613,город Екатеринбург<br>Район: Кировский район<br>Улица: Клары Цеткин
7305,641.0,город Екатеринбург,Кировский район,Ул. Тимирязева,11,56.843963,60.638819,город Екатеринбург<br>Район: Кировский район<br>Улица: Ул. Тимирязева
7306,641.0,город Екатеринбург,Кировский район,Район Ново-Свердловской ТЭЦ,,56.5022,60.495,город Екатеринбург<br>Район: Кировский район<br>Улица: Район Ново-Свердловской ТЭЦ
7307,641.0,город Екатеринбург,Кировский район,Ул. Малышева,137Б,56.8423,60.6613,город Екатеринбург<br>Район: Кировский район<br>Улица: Ул. Малышева
7308,641.0,город Екатеринбург,Кировский район,Норильская,78,56.885887,60.681451,город Екатеринбург<br>Район: Кировский район<br>Улица: Норильская
7309,641.0,город Екатеринбург,Кировский район,Блюхера,57,56.856452,60.649126,город Екатеринбург<br>Район: Кировский район<br>Улица: Блюхера
7310,641.0,город Екатеринбург,Кировский район,Территория Ново-Свердловская ТЭЦ,26/2,56.839286,60.851128,город Екатеринбург<br>Район: Кировский район<br>Улица: Территория Ново-Свердловская ТЭЦ
7312,641.0,город Екатеринбург,Кировский район,Высоцкого,28б,56.842236,60.687983,город Екатеринбург<br>Район: Кировский район<br>Улица: Высоцкого
7313,641.0,город Екатеринбург,Кировский район,Блюхера,63,56.85644,60.652838,город Екатеринбург<br>Район: Кировский район<br>Улица: Блюхера
7314,641.0,город Екатеринбург,Кировский район,Комсомольская,2,56.856142,60.653572,город Екатеринбург<br>Район: Кировский район<br>Улица: Комсомольская
