,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
12369,641.0,город Екатеринбург,Октябрьский район,Куйбышева,121а,56.831135,60.631525,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Куйбышева
13702,641.0,город Екатеринбург,Октябрьский район,Испытателей,27а,56.770244,60.81709,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Испытателей
13704,641.0,город Екатеринбург,Октябрьский район,Авиаторов,1а,56.761824,60.813569,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Авиаторов
13711,641.0,город Екатеринбург,Октябрьский район,Луначарского,203,56.829051,60.624955,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Луначарского
13712,641.0,город Екатеринбург,Октябрьский район,Р-н автодороги Екатеринбург-Кольцово,,56.785766,60.703102,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Р-н автодороги Екатеринбург-Кольцово
13713,641.0,город Екатеринбург,Октябрьский район,Ткачей,13,56.817315,60.629967,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Ткачей
13720,641.0,город Екатеринбург,Октябрьский район,Куйбышева,149а,56.829435,60.647232,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Куйбышева
13722,641.0,город Екатеринбург,Октябрьский район,Куйбышева,106,56.826202,60.654045,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Куйбышева
13725,641.0,город Екатеринбург,Октябрьский район,Куйбышева,104,56.826552,60.652043,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Куйбышева
13728,641.0,город Екатеринбург,Октябрьский район,Карьерная,17/В1,56.817308,60.679957,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Карьерная
13730,641.0,город Екатеринбург,Октябрьский район,Хлебная,17,56.789281,60.730566,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Хлебная
13731,641.0,город Екатеринбург,Октябрьский район,Варшавская,9,56.786177,60.736241,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Варшавская
13732,641.0,город Екатеринбург,Октябрьский район,Бахчиванджи,25,56.750247,60.833241,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Бахчиванджи
13734,641.0,город Екатеринбург,Октябрьский район,Дублер Сибирского тракта,13 км,56.809367,60.76791,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Дублер Сибирского тракта
13736,641.0,город Екатеринбург,Октябрьский район,Эстонская,11,56.78741,60.78807,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Эстонская
13738,641.0,город Екатеринбург,Октябрьский район,Сибирский тракт,30,56.819406,60.664893,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Сибирский тракт
13744,641.0,город Екатеринбург,Октябрьский район,Боковой,1,56.771145,60.821484,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Боковой
13746,641.0,город Екатеринбург,Октябрьский район,Дублер Сибирского тракта,2,56.829374,60.672699,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Дублер Сибирского тракта
13748,641.0,город Екатеринбург,Октябрьский район,Варяжская,1,56.793535,60.777532,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Варяжская
13749,641.0,город Екатеринбург,Октябрьский район,Вербная,,56.7981,60.786771,город Екатеринбург<br>Район: Октябрьский район<br>Улица: Вербная
