,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
7938,641.0,город Екатеринбург,Ленинский район,Начдива Онуфриева,10,56.804117,60.54738,город Екатеринбург<br>Район: Ленинский район<br>Улица: Начдива Онуфриева
7939,641.0,город Екатеринбург,Ленинский район,Академика Бардина,34,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7942,641.0,город Екатеринбург,Ленинский район,Академика Бардина,33А,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7946,641.0,город Екатеринбург,Ленинский район,Академика Бардина,29,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7949,641.0,город Екатеринбург,Ленинский район,Академика Бардина,27,56.804226,60.559734,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7956,641.0,город Екатеринбург,Ленинский район,Академика Бардина,25А,56.803413,60.560053,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7958,641.0,город Екатеринбург,Ленинский район,Академика Бардина,25/2,56.804651,60.559033,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7959,641.0,город Екатеринбург,Ленинский район,Серафимы Дерябиной,30В,56.809093,60.541441,город Екатеринбург<br>Район: Ленинский район<br>Улица: Серафимы Дерябиной
7962,641.0,город Екатеринбург,Ленинский район,Академика Бардина,21,56.803499,60.55634,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7963,641.0,город Екатеринбург,Ленинский район,Академика Бардина,19,56.804993,60.553378,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7964,641.0,город Екатеринбург,Ленинский район,Академика Бардина,15А,56.805522,60.556237,город Екатеринбург<br>Район: Ленинский район<br>Улица: Академика Бардина
7965,641.0,город Екатеринбург,Ленинский район,8 Марта,82,0.0,60.605394,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7966,641.0,город Екатеринбург,Ленинский район,8 Марта,80,56.819897,60.60485,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7970,641.0,город Екатеринбург,Ленинский район,8 Марта,8 Б,56.836979,60.598171,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7979,641.0,город Екатеринбург,Ленинский район,8 Марта,73,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7981,641.0,город Екатеринбург,Ленинский район,8 Марта,66,56.823279,60.603943,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7982,641.0,город Екатеринбург,Ленинский район,8 Марта,61,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7983,641.0,город Екатеринбург,Ленинский район,8 Марта,58,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7984,641.0,город Екатеринбург,Ленинский район,8 Марта,50,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7985,641.0,город Екатеринбург,Ленинский район,8 Марта,41,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7986,641.0,город Екатеринбург,Ленинский район,8 Марта,36,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7987,641.0,город Екатеринбург,Ленинский район,8 Марта,34А,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7988,641.0,город Екатеринбург,Ленинский район,8 Марта,33,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7989,641.0,город Екатеринбург,Ленинский район,8 Марта,32а,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7990,641.0,город Екатеринбург,Ленинский район,8 Марта,32,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7991,641.0,город Екатеринбург,Ленинский район,8 Марта,27,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7993,641.0,город Екатеринбург,Ленинский район,8 Марта,24,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7997,641.0,город Екатеринбург,Ленинский район,8 Марта,23В,56.833041,60.600646,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7998,641.0,город Екатеринбург,Ленинский район,8 Марта,21,56.833194,60.600697,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
7999,641.0,город Екатеринбург,Ленинский район,8 Марта,122,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
8000,641.0,город Екатеринбург,Ленинский район,8 Марта,12,56.83322,60.599504,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
8001,641.0,город Екатеринбург,Ленинский район,8 Марта,101,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
8006,641.0,город Екатеринбург,Ленинский район,8 Марта,110,56.0,60.0,город Екатеринбург<br>Район: Ленинский район<br>Улица: 8 Марта
8011,641.0,город Екатеринбург,Ленинский район,Узорная,,56.755608,60.560757,город Екатеринбург<br>Район: Ленинский район<br>Улица: Узорная
10708,641.0,город Екатеринбург,Ленинский район,Амундсена,101 л. Л,56.778442,60.558221,город Екатеринбург<br>Район: Ленинский район<br>Улица: Амундсена
10709,641.0,город Екатеринбург,Ленинский район,Радищева,33,56.8288,60.590724,город Екатеринбург<br>Район: Ленинский район<br>Улица: Радищева
10710,641.0,город Екатеринбург,Ленинский район,Фёдорова,23,56.809928,60.585197,город Екатеринбург<br>Район: Ленинский район<br>Улица: Фёдорова
10714,641.0,город Екатеринбург,Ленинский район,Шейнкмана,73,56.827974,60.589,город Екатеринбург<br>Район: Ленинский район<br>Улица: Шейнкмана
10715,641.0,город Екатеринбург,Ленинский район,Военного флота - Московская,,56.803842,60.593124,город Екатеринбург<br>Район: Ленинский район<br>Улица: Военного флота - Московская
10717,641.0,город Екатеринбург,Ленинский район,Начдива Онуфриева,47,56.796092,60.565761,город Екатеринбург<br>Район: Ленинский район<br>Улица: Начдива Онуфриева
10719,641.0,город Екатеринбург,Ленинский район,Сурикова,32,56.809935,60.599911,город Екатеринбург<br>Район: Ленинский район<br>Улица: Сурикова
10721,641.0,город Екатеринбург,Ленинский район,Московская,75,56.82805,60.586674,город Екатеринбург<br>Район: Ленинский район<br>Улица: Московская
10723,641.0,город Екатеринбург,Ленинский район,Горького,57,56.830992,60.60897,город Екатеринбург<br>Район: Ленинский район<br>Улица: Горького
