id,Code,Name,Raion,Street,House,Lat,Lon,text
20007,641.0,город Екатеринбург,Чкаловский район,Пер. Саранинский,3,56.766183999999996,60.623893,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Пер. Саранинский
20008,641.0,город Екатеринбург,Чкаловский район,Новинская,2,56.767053000000004,60.617505,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Новинская
20009,641.0,город Екатеринбург,Чкаловский район,Новинская,2,56.766979000000006,60.617929000000004,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Новинская
20010,641.0,город Екатеринбург,Чкаловский район,Адмирала Ушакова,25 а,56.720772,60.636931999999995,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Адмирала Ушакова
20012,641.0,город Екатеринбург,Чкаловский район,Ферганская,6,56.77268,60.610036,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ферганская
20013,641.0,город Екатеринбург,Чкаловский район,Юго-восточное отделение Полеводство,,56.699375,60.552331,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Юго-восточное отделение Полеводство
20014,641.0,город Екатеринбург,Чкаловский район,Самолётная,55,56.772695999999996,60.625565,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Самолётная
20015,641.0,город Екатеринбург,Чкаловский район,Агрономическая,28,56.775767,60.60619200000001,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Агрономическая
20016,641.0,город Екатеринбург,Чкаловский район,8 марта,207/2,56.788807999999996,60.610606999999995,город Екатеринбург<br>Район: Чкаловский район<br>Улица: 8 марта
20017,641.0,город Екатеринбург,Чкаловский район,Бисертская,128,56.753205,60.62504499999999,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Бисертская
20018,641.0,город Екатеринбург,Чкаловский район,"Полевской тракт, 15 км",,56.709485,60.574374,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: Полевской тракт, 15 км"
20019,641.0,город Екатеринбург,Чкаловский район,Елизавет,,56.728108999999996,60.595247,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Елизавет
20020,641.0,город Екатеринбург,Чкаловский район,Колхозников,59 Д,56.751222,60.610762,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Колхозников
20021,641.0,город Екатеринбург,Чкаловский район,Альпинистов,85,56.761931000000004,60.742543000000005,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Альпинистов
20022,641.0,город Екатеринбург,Чкаловский район,Дагестанская,36,56.763412,60.717801,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Дагестанская
20023,641.0,город Екатеринбург,Чкаловский район,Ленина,32,56.637764000000004,60.580667000000005,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ленина
20024,641.0,город Екатеринбург,Чкаловский район,Ленина,20,56.636764,60.585163,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ленина
20026,641.0,город Екатеринбург,Чкаловский район,Ленина,33,56.636295,60.580903,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ленина
20027,641.0,город Екатеринбург,Чкаловский район,Ленина,4,56.638011999999996,60.590745,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ленина
20029,641.0,город Екатеринбург,Чкаловский район,Димитрова,15А,56.745426,60.691867,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Димитрова
20030,641.0,город Екатеринбург,Чкаловский район,Зимняя,25,56.776939,60.648166,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Зимняя
20031,641.0,город Екатеринбург,Чкаловский район,Зимняя,24,56.77625,60.645788,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Зимняя
20033,641.0,город Екатеринбург,Чкаловский район,Кирпичный переулок,9,56.772897,60.634811,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Кирпичный переулок
20034,641.0,город Екатеринбург,Чкаловский район,Походная,80,56.771751,60.629909,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Походная
20035,641.0,город Екатеринбург,Чкаловский район,Новостроя,1А,56.771372,60.632631999999994,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Новостроя
20036,641.0,город Екатеринбург,Чкаловский район,Походная,81,56.770598,60.632698,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Походная
20037,641.0,город Екатеринбург,Чкаловский район,Походная,81,56.770648,60.634037,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Походная
20038,641.0,город Екатеринбург,Чкаловский район,Походная,80/4,56.772704000000004,60.630212,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Походная
