,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
0,641.0,город Екатеринбург,Железнодорожный район,Таватуйская,2,56.862184,60.589797,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Таватуйская
2,641.0,город Екатеринбург,Железнодорожный район,Тагильская,2,56.863253,60.588134,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Тагильская
4,641.0,город Екатеринбург,Железнодорожный район,Тагильская,2,56.863047,60.59206,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Тагильская
6,641.0,город Екатеринбург,Железнодорожный район,Тагильская,2,56.862971,60.592736,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Тагильская
7,641.0,город Екатеринбург,Железнодорожный район,Тагильская,2,56.862895,60.593552,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Тагильская
9,641.0,город Екатеринбург,Железнодорожный район,Тагильская,2,56.862272,60.593981,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Тагильская
11,641.0,город Екатеринбург,Железнодорожный район,Ватутина,10,56.8726,60.5224,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ватутина
13,641.0,город Екатеринбург,Железнодорожный район,Стрелочников,10б,56.857596,60.588979,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Стрелочников
14,641.0,город Екатеринбург,Железнодорожный район,Вокзальная,22,56.860818,60.603679,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Вокзальная
15,641.0,город Екатеринбург,Железнодорожный район,Вокзальная,22,56.860818,60.603679,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Вокзальная
17,641.0,город Екатеринбург,Железнодорожный район,Вокзальная,24,56.85861,60.609177,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Вокзальная
18,641.0,город Екатеринбург,Железнодорожный район,Вокзальная,16,56.858544,60.601581,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Вокзальная
19,641.0,город Екатеринбург,Железнодорожный район,Тюменская,26,56.861894,60.600158,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Тюменская
971,641.0,город Екатеринбург,Железнодорожный район,Крупносортщиков,14,56.863334,60.565515,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Крупносортщиков
974,641.0,город Екатеринбург,Железнодорожный район,Таватуйская,2,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Таватуйская
975,641.0,город Екатеринбург,Железнодорожный район,Техническая,10 к. 4,56.861208,60.5484,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Техническая
976,641.0,город Екатеринбург,Железнодорожный район,Машинистов,1а,56.85,60.57,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Машинистов
978,641.0,город Екатеринбург,Железнодорожный район,Олимпийская набережная,3,56.846826,60.596147,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Олимпийская набережная
980,641.0,город Екатеринбург,Железнодорожный район,Пехотинцев,25,56.86631,60.56529,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Пехотинцев
981,641.0,город Екатеринбург,Железнодорожный район,Луначарского,42,56.8519,60.6157,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Луначарского
983,641.0,город Екатеринбург,Железнодорожный район,Красный,4а,56.8495,60.5944,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Красный
984,641.0,город Екатеринбург,Железнодорожный район,Артинская,20а,56.87049,60.59118,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Артинская
985,641.0,город Екатеринбург,Железнодорожный район,Восточная,1,56.856846,60.618238,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Восточная
991,641.0,город Екатеринбург,Железнодорожный район,Вокзальная,21,56.857333,60.602308,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Вокзальная
993,641.0,город Екатеринбург,Железнодорожный район,Маневровая,43,56.885679,60.532597,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Маневровая
995,641.0,город Екатеринбург,Железнодорожный район,Автомагистральная,10а,56.869916,60.574911,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Автомагистральная
997,641.0,город Екатеринбург,Железнодорожный район,Екатеринбург-Сортировочный,,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Екатеринбург-Сортировочный
999,641.0,город Екатеринбург,Железнодорожный район,Шувакишская,3,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Шувакишская
1000,641.0,город Екатеринбург,Железнодорожный район,Расточная,46,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Расточная
1001,641.0,город Екатеринбург,Железнодорожный район,Колмогорова,62Б,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Колмогорова
1002,641.0,город Екатеринбург,Железнодорожный район,Колмогорова,62а,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Колмогорова
1003,641.0,город Екатеринбург,Железнодорожный район,Вокзальная,22,56.85983,60.599265,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Вокзальная
1006,641.0,город Екатеринбург,Железнодорожный район,Билимбаевская,28,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Билимбаевская
1007,641.0,город Екатеринбург,Железнодорожный район,Билимбаевская,28,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Билимбаевская
1008,641.0,город Екатеринбург,Железнодорожный район,Техническая,10,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Техническая
1009,641.0,город Екатеринбург,Железнодорожный район,Армавирская,20,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Армавирская
1010,641.0,город Екатеринбург,Железнодорожный район,Ангарская,83,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1011,641.0,город Екатеринбург,Железнодорожный район,Ангарская,81,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1012,641.0,город Екатеринбург,Железнодорожный район,Ангарская,77,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1013,641.0,город Екатеринбург,Железнодорожный район,Ангарская,75,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1014,641.0,город Екатеринбург,Железнодорожный район,Ангарская,54а,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1015,641.0,город Екатеринбург,Железнодорожный район,Ангарская,46а,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1016,641.0,город Екатеринбург,Железнодорожный район,Ангарская,36,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1017,641.0,город Екатеринбург,Железнодорожный район,Ангарская,26,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
1018,641.0,город Екатеринбург,Железнодорожный район,Ангарская,1,56.0,60.0,город Екатеринбург<br>Район: Железнодорожный район<br>Улица: Ангарская
