,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
18029,641.0,город Екатеринбург,Чкаловский район,"Ст. Сысерть, Кузнецова",1,56.680161,60.581917,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ст. Сысерть, Кузнецова"
18031,641.0,город Екатеринбург,Чкаловский район,"А/д ""Екатеринбург - а/э ""Кольцово"", 7 км",,56.79004,60.668267,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: А/д ""Екатеринбург - а/э ""Кольцово"", 7 км"
18032,641.0,город Екатеринбург,Чкаловский район,Патриса Лумумбы,4в,56.77233,60.600419,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Патриса Лумумбы
18033,641.0,город Екатеринбург,Чкаловский район,Титова,37,56.769124,60.615127,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Титова
18034,641.0,город Екатеринбург,Чкаловский район,Димитрова,120,56.736141,60.704437,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Димитрова
18035,641.0,город Екатеринбург,Чкаловский район,Щербакова,216,56.757051,60.673972,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Щербакова
18036,641.0,город Екатеринбург,Чкаловский район,8 марта,204 корпус 8,56.796906,60.608272,город Екатеринбург<br>Район: Чкаловский район<br>Улица: 8 марта
18038,641.0,город Екатеринбург,Чкаловский район,8 марта,271,56.786993,60.607252,город Екатеринбург<br>Район: Чкаловский район<br>Улица: 8 марта
18039,641.0,город Екатеринбург,Чкаловский район,Щербакова,2а,56.791152,60.64563,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Щербакова
18040,641.0,город Екатеринбург,Чкаловский район,Димитрова,125,56.735978,60.707361,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Димитрова
18042,641.0,город Екатеринбург,Чкаловский район,Крестинского,51б,56.790673,60.634704,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Крестинского
18043,641.0,город Екатеринбург,Чкаловский район,Симская,1,56.759291,60.615733,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Симская
18044,641.0,город Екатеринбург,Чкаловский район,Симская,1,56.760867,60.623048,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Симская
18045,641.0,город Екатеринбург,Чкаловский район,СНТ № 5 УЗХМ,,56.766881,60.721019,город Екатеринбург<br>Район: Чкаловский район<br>Улица: СНТ № 5 УЗХМ
18046,641.0,город Екатеринбург,Чкаловский район,Павлодарская,40,56.786808,60.644376,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Павлодарская
18047,641.0,город Екатеринбург,Чкаловский район,8 Марта,269,56.785848,60.610429,город Екатеринбург<br>Район: Чкаловский район<br>Улица: 8 Марта
18048,641.0,город Екатеринбург,Чкаловский район,"СНТ ""Патриоты Урала""",,56.654187,60.42938,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: СНТ ""Патриоты Урала"""
18049,641.0,город Екатеринбург,Чкаловский район,Елизаветинское шоссе,28,56.761892,60.630613,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Елизаветинское шоссе
18051,641.0,город Екатеринбург,Чкаловский район,Щербакова,149,56.763345,60.663073,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Щербакова
18053,641.0,город Екатеринбург,Чкаловский район,"СНТ ""Химмашевец-14""",,56.718539,60.732353,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: СНТ ""Химмашевец-14"""
18054,641.0,город Екатеринбург,Чкаловский район,Московская,281,56.798724,60.596801,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Московская
18057,641.0,город Екатеринбург,Чкаловский район,Просторная,91,56.796578,60.647874,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Просторная
18059,641.0,город Екатеринбург,Чкаловский район,Черняховского,86 корпус 7,56.758015,60.753926,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Черняховского
18062,641.0,город Екатеринбург,Чкаловский район,Бисертская,103,56.75035,60.61948,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Бисертская
19817,641.0,город Екатеринбург,Чкаловский район,Родонитовая,4,56.792118,60.617516,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Родонитовая
19818,641.0,город Екатеринбург,Чкаловский район,Родонитовая,19,56.792882,60.623223,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Родонитовая
19819,641.0,город Екатеринбург,Чкаловский район,Бисертская,26,56.744522,60.614555,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Бисертская
19820,641.0,город Екатеринбург,Чкаловский район,Селькоровская,70,56.758193,60.610156,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Селькоровская
19821,641.0,город Екатеринбург,Чкаловский район,Академика Шварца,16,56.794214,60.625843,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Академика Шварца
19822,641.0,город Екатеринбург,Чкаловский район,Ленина,10,56.687301,60.518462,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ленина
19823,641.0,город Екатеринбург,Чкаловский район,Титова,33,56.771672,60.614562,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Титова
19824,641.0,город Екатеринбург,Чкаловский район,Лесная,22,56.7286,60.724241,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Лесная
19826,641.0,город Екатеринбург,Чкаловский район,Щербакова,141,56.770326,60.667937,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Щербакова
19827,641.0,город Екатеринбург,Чкаловский район,Зимняя,22,56.776507,60.646738,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Зимняя
19828,641.0,город Екатеринбург,Чкаловский район,Академика Шварца,15,56.797258,60.621376,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Академика Шварца
19829,641.0,город Екатеринбург,Чкаловский район,8 марта,"189, корпус 2",56.793405,60.608604,город Екатеринбург<br>Район: Чкаловский район<br>Улица: 8 марта
19836,641.0,город Екатеринбург,Чкаловский район,Микрорайон Светлый,3Б,56.778161,60.701534,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Микрорайон Светлый
19837,641.0,город Екатеринбург,Чкаловский район,Агрономическая,22а,56.77663,60.604671,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Агрономическая
19838,641.0,город Екатеринбург,Чкаловский район,"СНТ ""Машиностроитель-2""",,56.747512,60.626749,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: СНТ ""Машиностроитель-2"""
19839,641.0,город Екатеринбург,Чкаловский район,Ленина (Горный Щит),1,56.637835,60.591659,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Ленина (Горный Щит)
19841,641.0,город Екатеринбург,Чкаловский район,Дорожная,22/3,56.774905,60.587055,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Дорожная
19842,641.0,город Екатеринбург,Чкаловский район,Газетная,38,56.76332,60.602984,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Газетная
19843,641.0,город Екатеринбург,Чкаловский район,Титова,1,56.78428,60.60875,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Титова
19846,641.0,город Екатеринбург,Чкаловский район,Титова,28а,56.778375,60.608687,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Титова
19848,641.0,город Екатеринбург,Чкаловский район,Альпинистов,57,56.761863,60.720556,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Альпинистов
19849,641.0,город Екатеринбург,Чкаловский район,Кольцовский тракт 10 км,,56.462115,60.431366,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Кольцовский тракт 10 км
19850,641.0,город Екатеринбург,Чкаловский район,Щербакова,87,56.463304,60.395066,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Щербакова
19851,641.0,город Екатеринбург,Чкаловский район,Новосибирская 2-я,6,56.453915,60.35174,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Новосибирская 2-я
19852,641.0,город Екатеринбург,Чкаловский район,Челябинский тракт 17 км,,56.42236,60.442962,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Челябинский тракт 17 км
19853,641.0,город Екатеринбург,Чкаловский район,Водительский проезд,10,56.471888,60.36584,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Водительский проезд
19854,641.0,город Екатеринбург,Чкаловский район,8 марта,183а,56.475618,60.364452,город Екатеринбург<br>Район: Чкаловский район<br>Улица: 8 марта
19855,641.0,город Екатеринбург,Чкаловский район,Елизаветинское шоссе,60,56.453045,60.373886,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Елизаветинское шоссе
19856,641.0,город Екатеринбург,Чкаловский район,Крестинского,40,56.471938,60.37944,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Крестинского
19858,641.0,город Екатеринбург,Чкаловский район,"Полевской тракт, 12 км",,56.44196,60.354249,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: Полевской тракт, 12 км"
19859,641.0,город Екатеринбург,Чкаловский район,Родонитовая,36,56.792163,60.6287,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Родонитовая
19861,641.0,город Екатеринбург,Чкаловский район,Хибиногорский,33,56.753965,60.712373,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Хибиногорский
19862,641.0,город Екатеринбург,Чкаловский район,Родонитовая,28,56.790896,60.627918,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Родонитовая
19863,641.0,город Екатеринбург,Чкаловский район,Агрономическая,26,56.775946,60.606379,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Агрономическая
19864,641.0,город Екатеринбург,Чкаловский район,Титова,33,56.771406,60.615633,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Титова
19865,641.0,город Екатеринбург,Чкаловский район,Походная,84,56.771195,60.628107,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Походная
19867,641.0,город Екатеринбург,Чкаловский район,Дагестанская,1,56.763999,60.7076,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Дагестанская
19868,641.0,город Екатеринбург,Чкаловский район,Циолковского,57,56.805619,60.612863,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Циолковского
19869,641.0,город Екатеринбург,Чкаловский район,Круговая,95,56.725046,60.640314,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Круговая
19870,641.0,город Екатеринбург,Чкаловский район,"С. Горный Щит, СНТ ""Лесные тропы""",,56.665176,60.534584,"город Екатеринбург<br>Район: Чкаловский район<br>Улица: С. Горный Щит, СНТ ""Лесные тропы"""
19871,641.0,город Екатеринбург,Чкаловский район,Лыжников,38а,56.781125,60.652683,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Лыжников
19872,641.0,город Екатеринбург,Чкаловский район,Пл. Жуковского,1в,56.781728,60.649219,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Пл. Жуковского
19873,641.0,город Екатеринбург,Чкаловский район,Титова,28,56.77857,60.609279,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Титова
19874,641.0,город Екатеринбург,Чкаловский район,Крестинского,39,56.789094,60.62297,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Крестинского
19876,641.0,город Екатеринбург,Чкаловский район,Караванная 11,,56.748946,60.679147,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Караванная 11
19877,641.0,город Екатеринбург,Чкаловский район,Патриса Лумумбы,35,56.773425,60.602834,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Патриса Лумумбы
19878,641.0,город Екатеринбург,Чкаловский район,Олега Кошевого,32а,56.78006,60.640796,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Олега Кошевого
19879,641.0,город Екатеринбург,Чкаловский район,Кварцевая,6а,56.78039,60.632662,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Кварцевая
19880,641.0,город Екатеринбург,Чкаловский район,Крестинского,39а,56.789525,60.619352,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Крестинского
19881,641.0,город Екатеринбург,Чкаловский район,Братская,11Б,56.776599,60.602603,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Братская
19882,641.0,город Екатеринбург,Чкаловский район,Селькоровская,13,56.760846,60.613892,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Селькоровская
19883,641.0,город Екатеринбург,Чкаловский район,Санаторная,3,56.76863,60.612646,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Санаторная
19884,641.0,город Екатеринбург,Чкаловский район,Бородина,31,56.755374,60.697727,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Бородина
19885,641.0,город Екатеринбург,Чкаловский район,Адмирала Ушакова,35,56.720391,60.629979,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Адмирала Ушакова
19886,641.0,город Екатеринбург,Чкаловский район,Черняховского,86,56.75589,60.757842,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Черняховского
19887,641.0,город Екатеринбург,Чкаловский район,Окружная,1,56.755742,60.596658,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Окружная
19888,641.0,город Екатеринбург,Чкаловский район,8 марта,206б,56.795963,60.608805,город Екатеринбург<br>Район: Чкаловский район<br>Улица: 8 марта
