,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
16932,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,84,56.906059,60.614375,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
16936,641.0,город Екатеринбург,Орджоникидзевский район,Пер. Никольский,43,56.881342,60.553393,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Пер. Никольский
16938,641.0,город Екатеринбург,Орджоникидзевский район,Полевая,76,56.93176,60.606574,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Полевая
16940,641.0,город Екатеринбург,Орджоникидзевский район,Коммунистическая,34,56.915,60.584444,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Коммунистическая
16942,641.0,город Екатеринбург,Орджоникидзевский район,Совхозная,16,56.910069,60.630331,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Совхозная
16947,641.0,город Екатеринбург,Орджоникидзевский район,Стахановская,34,56.897217,60.602289,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Стахановская
16949,641.0,город Екатеринбург,Орджоникидзевский район,Фрезеровщиков,37а,56.90462,60.625165,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Фрезеровщиков
16950,641.0,город Екатеринбург,Орджоникидзевский район,Уральских рабочих,76,56.901555,60.58578,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Уральских рабочих
16951,641.0,город Екатеринбург,Орджоникидзевский район,Шефская,59,56.898616,60.626621,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Шефская
16953,641.0,город Екатеринбург,Орджоникидзевский район,Кобозева,120а,56.904299,60.646552,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Кобозева
16954,641.0,город Екатеринбург,Орджоникидзевский район,Лобкова,50,56.899275,60.637065,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Лобкова
16955,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,14/1,56.868748,60.613852,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
16957,641.0,город Екатеринбург,Орджоникидзевский район,Ильича,47,56.895842,60.605085,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ильича
16959,641.0,город Екатеринбург,Орджоникидзевский район,Победы,31,56.897304,60.602696,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Победы
16961,641.0,город Екатеринбург,Орджоникидзевский район,Кислородная,8а,56.862758,60.614753,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Кислородная
16962,641.0,город Екатеринбург,Орджоникидзевский район,Проспект Космонавтов,257,56.941174,60.621073,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Проспект Космонавтов
16963,641.0,"город Екатеринбург, пос. Садовый",Орджоникидзевский район,Фруктовая,1,56.940917,60.669228,"город Екатеринбург, пос. Садовый<br>Район: Орджоникидзевский район<br>Улица: Фруктовая"
16965,641.0,город Екатеринбург,Орджоникидзевский район,Фронтовых бригад,19а,56.882592,60.634017,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Фронтовых бригад
16967,641.0,город Екатеринбург,Орджоникидзевский район,Бакинских комиссаров,2,56.892939,60.572978,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бакинских комиссаров
16969,641.0,город Екатеринбург,Орджоникидзевский район,Индустрии,100а,56.904629,60.61015,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Индустрии
16971,641.0,город Екатеринбург,Орджоникидзевский район,Красных командиров,72,56.896638,60.628023,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Красных командиров
16973,641.0,город Екатеринбург,Орджоникидзевский район,Поселок Калиновка,,56.914275,60.653642,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Поселок Калиновка
16975,641.0,город Екатеринбург,Орджоникидзевский район,Фронтовых бригад,22,56.882671,60.637672,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Фронтовых бригад
16977,641.0,город Екатеринбург,Орджоникидзевский район,Авангардная,13,56.891489,60.604867,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Авангардная
16979,641.0,город Екатеринбург,Орджоникидзевский район,Учителей,33,56.86921,60.633404,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Учителей
16981,641.0,город Екатеринбург,Орджоникидзевский район,Победы,14а,56.896354,60.608716,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Победы
16984,641.0,город Екатеринбург,Орджоникидзевский район,7 квартал Верх-Исетского лесничества лесного парка Шувакишский,,56.920715,60.558273,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: 7 квартал Верх-Исетского лесничества лесного парка Шувакишский
16986,641.0,город Екатеринбург,Орджоникидзевский район,Победы,2/1,56.893864,60.612984,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Победы
16988,641.0,"город Екатеринбург, поселок Садовый",Орджоникидзевский район,Садовый,,56.958527,60.760563,"город Екатеринбург, поселок Садовый<br>Район: Орджоникидзевский район<br>Улица: Садовый"
16990,641.0,город Екатеринбург,Орджоникидзевский район,Шефская,105в,56.911582,60.618656,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Шефская
16992,641.0,город Екатеринбург,Орджоникидзевский район,Бульвар Культуры,32,56.890777,60.579607,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бульвар Культуры
16996,641.0,город Екатеринбург,Орджоникидзевский район,Стачек,4,56.883951,60.633605,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Стачек
17000,641.0,город Екатеринбург,Орджоникидзевский район,Баумана,47,56.895957,60.637813,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Баумана
17004,641.0,город Екатеринбург,Орджоникидзевский район,Новаторов,8,56.908064,60.602228,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Новаторов
17008,641.0,город Екатеринбург,Орджоникидзевский район,Избирателей,52,56.899502,60.605259,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Избирателей
17012,641.0,город Екатеринбург,Орджоникидзевский район,бульвар Культуры,30А,56.890882,60.579961,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: бульвар Культуры
17013,641.0,город Екатеринбург,Орджоникидзевский район,Электриков,23,56.88316,60.615342,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Электриков
17017,641.0,город Екатеринбург,Орджоникидзевский район,Черноморский переулок,6,56.894772,60.639997,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Черноморский переулок
17021,641.0,город Екатеринбург,Орджоникидзевский район,Бакинских Комиссаров,66,56.906532,60.590766,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бакинских Комиссаров
17025,641.0,город Екатеринбург,Орджоникидзевский район,Орджоникидзе,22,56.897626,60.589743,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Орджоникидзе
17029,641.0,город Екатеринбург,Орджоникидзевский район,Краснофлотцев,1Г,56.887102,60.618839,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Краснофлотцев
17033,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,57,56.907147,60.612933,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
17037,641.0,город Екатеринбург,Орджоникидзевский район,Бакинских Комиссаров,122,56.912521,60.600248,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бакинских Комиссаров
17041,641.0,город Екатеринбург,Орджоникидзевский район,Уральских Рабочих,35,56.894957,60.600218,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Уральских Рабочих
17045,641.0,город Екатеринбург,Орджоникидзевский район,Восстания,25,56.901745,60.604796,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Восстания
17049,641.0,город Екатеринбург,Орджоникидзевский район,Фрезеровщиков,47,56.905455,60.63073,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Фрезеровщиков
17053,641.0,"город Екатеринбург, пос. Садовый",Орджоникидзевский район,Верстовая - Набережная,,56.954729,60.674454,"город Екатеринбург, пос. Садовый<br>Район: Орджоникидзевский район<br>Улица: Верстовая - Набережная"
17055,641.0,"город Екатеринбург, пос. Козловский",Орджоникидзевский район,Козловская,,56.966081,60.694576,"город Екатеринбург, пос. Козловский<br>Район: Орджоникидзевский район<br>Улица: Козловская"
17057,641.0,"город Екатеринбург, пос. Садовый",Орджоникидзевский район,Пер. Колосковый,,56.952057,60.683932,"город Екатеринбург, пос. Садовый<br>Район: Орджоникидзевский район<br>Улица: Пер. Колосковый"
17058,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,260 стр. 3,56.941899,60.625947,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
17060,641.0,"город Екатеринбург, пос. Садовый",Орджоникидзевский район,Грачей,1,56.952377,60.681227,"город Екатеринбург, пос. Садовый<br>Район: Орджоникидзевский район<br>Улица: Грачей"
17062,641.0,город Екатеринбург,Орджоникидзевский район,Западнее радиоцентра,,56.924958,60.586879,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Западнее радиоцентра
17064,641.0,город Екатеринбург,Орджоникидзевский район,Кислородная,8 литер х,56.865048,60.617902,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Кислородная
17066,641.0,город Екатеринбург,Орджоникидзевский район,Фронтовых бригад,22,56.877686,60.648088,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Фронтовых бригад
17068,641.0,город Екатеринбург,Орджоникидзевский район,Победы,96,56.90401,60.587479,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Победы
17070,641.0,город Екатеринбург,Орджоникидзевский район,Баумана,46,56.894847,60.638004,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Баумана
17072,641.0,город Екатеринбург,Орджоникидзевский район,Старых большевиков,50,56.89733,60.624604,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Старых большевиков
17074,641.0,город Екатеринбург,Орджоникидзевский район,Машиностроителей,41А,56.883214,60.579631,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Машиностроителей
17078,641.0,город Екатеринбург,Орджоникидзевский район,Фронтовых бригад,37,56.891081,60.662072,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Фронтовых бригад
17082,641.0,город Екатеринбург,Орджоникидзевский район,Старых Большевиков,14,56.890363,60.632131,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Старых Большевиков
17086,641.0,город Екатеринбург,Орджоникидзевский район,Электриков,23,56.883343,60.615172,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Электриков
17090,641.0,город Екатеринбург,Орджоникидзевский район,Донбасская,8,56.890874,60.570701,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Донбасская
17093,641.0,город Екатеринбург,Орджоникидзевский район,40-летия Октября,75,56.903991,60.598413,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: 40-летия Октября
17097,641.0,город Екатеринбург,Орджоникидзевский район,Шефская,107,56.911551,60.617535,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Шефская
17099,641.0,город Екатеринбург,Орджоникидзевский район,Бакинских Комиссаров,101,56.904723,60.585886,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бакинских Комиссаров
17103,641.0,город Екатеринбург,Орджоникидзевский район,Орджоникидзе,17,56.894238,60.589353,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Орджоникидзе
17107,641.0,город Екатеринбург,Орджоникидзевский район,Баумана,2А,56.887551,60.616141,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Баумана
17111,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,57,56.907207,60.61278,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
17115,641.0,город Екатеринбург,Орджоникидзевский район,Совхозная,2,56.907606,60.621826,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Совхозная
17119,641.0,город Екатеринбург,Орджоникидзевский район,Красных Командиров,23,56.897252,60.62683,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Красных Командиров
17123,641.0,город Екатеринбург,Орджоникидзевский район,Красных Командиров,3,56.894374,60.618624,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Красных Командиров
17127,641.0,город Екатеринбург,Орджоникидзевский район,Победы,94,56.903152,60.589494,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Победы
17131,641.0,город Екатеринбург,Орджоникидзевский район,Машиностроителей,18,56.884561,60.571971,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Машиностроителей
17135,641.0,город Екатеринбург,Орджоникидзевский район,Уральских Рабочих,43,56.896681,60.596414,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Уральских Рабочих
